epoch,inclusion_loss,learning_rate
496,0.0013990833559308165,0.002
497,0.0013983625156922229,0.002
498,0.0013976414998433829,0.002
499,0.0013969203057461223,0.002
500,0.0013961989307815913,0.002
501,0.0013954773723477952,0.002
502,0.0013947556278580049,0.002
503,0.0013940336947404455,0.002
504,0.0013933115704381034,0.002
505,0.0013925892524066247,0.002
506,0.001391866738112985,0.002
507,0.001391144025035279,0.002
508,0.0013904211105103719,0.002
509,0.0013896979906246967,0.002
510,0.00138897466242002,0.002
511,0.0013882511232846178,0.002
512,0.0013875273706352742,0.002
513,0.0013868034019137747,0.002
514,0.0013860792145817668,0.002
515,0.0013853548061161967,0.002
516,0.00138463017400574,0.002
517,0.0013839053157500716,0.002
518,0.001383180228642694,0.002
519,0.0013824549088292226,0.002
520,0.0013817293534700405,0.002
521,0.0013810035599611079,0.002
522,0.0013802775257145774,0.002
523,0.0013795512481570376,0.002
524,0.0013788247247350828,0.002
525,0.00137809795290954,0.002
526,0.0013773709301486638,0.002
527,0.0013766436539242258,0.002
528,0.0013759161217157213,0.002
529,0.0013751883310053725,0.002
530,0.0013744602792763988,0.002
531,0.0013737319640133817,0.002
532,0.0013730033827069094,0.002
533,0.0013722745328477027,0.002
534,0.001371545411923343,0.002
535,0.0013708160174173444,0.002
536,0.0013700863468116718,0.002
537,0.0013693563975823288,0.002
538,0.0013686261671982775,0.002
539,0.001367895653194529,0.002
540,0.001367164853425461,0.002
541,0.0013664337654297968,0.002
542,0.0013657023866705266,0.002
543,0.0013649707146053587,0.002
544,0.0013642387466790082,0.002
545,0.001363506480318822,0.002
546,0.0013627739129303323,0.002
547,0.0013620410419163112,0.002
548,0.0013613078646621101,0.002
549,0.001360574378536841,0.002
550,0.001359840580890055,0.002
551,0.0013591064690658225,0.002
552,0.001358372040388353,0.002
553,0.0013576372921635398,0.002
554,0.0013569022216802303,0.002
555,0.001356166826217015,0.002
556,0.001355431103032251,0.002
557,0.0013546950493643953,0.002
558,0.0013539586624370346,0.002
559,0.0013532219394586952,0.002
560,0.0013524848776172228,0.002
561,0.001351747474079581,0.002
562,0.001351009725998036,0.002
563,0.0013502716305061324,0.002
564,0.0013495331847161013,0.002
565,0.0013487943857195376,0.002
566,0.0013480552305919816,0.002
567,0.0013473157163878674,0.002
568,0.0013465758401393164,0.002
569,0.0013458355988581147,0.002
570,0.0013450949895374912,0.002
571,0.0013443540091479728,0.002
